row_id,title,model,battery,price-range,0_-_100,top_speed,range*,efficiency*,fastcharge*,germany_price_before_incentives,netherlands_price_before_incentives,uk_price_after_incentives,drive_configuration,tow_hitch,towing_capacity_in_kg,number_of_seats
1,Tesla,Model 3,57.5,104,6.1 sec,,,,690 km/h,41970.0,41990.0,0.0,Rear Wheel Drive,Towbar possible,1000.0,5
2,Tesla,Model Y,57.5,137,6.9 sec,,,,580 km/h,45970.0,45990.0,0.0,Rear Wheel Drive,Towbar possible,1600.0,5
3,Tesla,Model Y Long Range Dual Motor,75.0,130,5.0 sec,,,,670 km/h,55970.0,52990.0,0.0,All Wheel Drive,Towbar possible,1600.0,5
4,Tesla,Model 3 Long Range Dual Motor,75.0,106,4.4 sec,,,,770 km/h,50970.0,49990.0,0.0,All Wheel Drive,Towbar possible,1000.0,5
5,Tesla,Model Y Long Range RWD,75.0,109,5.9 sec,,,,710 km/h,49970.0,49990.0,0.0,Rear Wheel Drive,Towbar possible,1600.0,5
6,Byd,ATTO 3,60.5,121,7.3 sec,,,,370 km/h,37990.0,38990.0,0.0,Front Wheel Drive,,1500.0,5
7,Mg,MG4 Electric 64 kWh,61.7,102,7.9 sec,,,,630 km/h,39990.0,35785.0,0.0,Rear Wheel Drive,Towbar possible,500.0,5
8,Byd,SEAL 82.5 kWh AWD Excellence,82.5,107,3.8 sec,,,,540 km/h,50990.0,50990.0,0.0,All Wheel Drive,,1500.0,5
9,Tesla,Model Y Performance,75.0,152,3.8 sec,,,,640 km/h,60790.0,58990.0,0.0,All Wheel Drive,Towbar possible,1600.0,5
10,Bmw,i4 eDrive40,80.7,122,5.7 sec,,,,800 km/h,59200.0,62992.0,0.0,Rear Wheel Drive,Towbar possible,1600.0,5
11,Citroen,e-C3,44.0,90,11.0 sec,,,,340 km/h,23300.0,24290.0,0.0,Front Wheel Drive,Towbar possible,550.0,5
12,Bmw,iX xDrive40,71.0,225,6.1 sec,,,,480 km/h,77300.0,84998.0,0.0,All Wheel Drive,Towbar possible,2500.0,5
13,Volkswagen,ID.4 Pro,77.0,114,6.7 sec,,,,650 km/h,46335.0,49990.0,0.0,Rear Wheel Drive,Towbar possible,1000.0,5
14,Byd,DOLPHIN 60.4 kWh,60.5,101,7.0 sec,,,,340 km/h,32990.0,35490.0,0.0,Front Wheel Drive,Towbar possible,0.0,5
15,Volvo,EX30 Single Motor ER,64.0,118,5.3 sec,,,,600 km/h,41790.0,41495.0,0.0,Rear Wheel Drive,Towbar possible,1400.0,5
16,Tesla,Model S Plaid,95.0,199,2.3 sec,,,,780 km/h,110970.0,108990.0,0.0,All Wheel Drive,Towbar possible,1600.0,5
17,Tesla,Model S Dual Motor,95.0,167,3.2 sec,,,,800 km/h,95970.0,93990.0,0.0,All Wheel Drive,Towbar possible,1600.0,5
18,Kia,Niro EV,64.8,111,7.8 sec,,,,390 km/h,45690.0,39995.0,0.0,Front Wheel Drive,Towbar possible,750.0,5
19,Hyundai,Kona Electric 65 kWh,65.4,116,7.8 sec,,,,400 km/h,47190.0,43995.0,0.0,Front Wheel Drive,Towbar possible,750.0,5
20,Tesla,Model 3 Performance,75.0,135,3.2 sec,,,,700 km/h,57970.0,56990.0,0.0,All Wheel Drive,,1500.0,5
21,Byd,HAN,85.4,146,3.9 sec,,,,450 km/h,69020.0,69990.0,0.0,All Wheel Drive,,1500.0,5
22,Cupra,Born 150 kW - 58 kWh,58.0,113,7.3 sec,,,,470 km/h,39370.0,36939.0,0.0,Rear Wheel Drive,,1500.0,5
23,Fiat,500e Hatchback 42 kWh,37.3,149,9.0 sec,,,,390 km/h,34990.0,34490.0,0.0,Front Wheel Drive,,1500.0,4
24,Byd,SEAL 82.5 kWh RWD Design,82.5,96,5.9 sec,,,,550 km/h,44990.0,45990.0,0.0,Rear Wheel Drive,,1500.0,5
25,Byd,TANG,86.4,199,4.6 sec,,,,420 km/h,71400.0,69990.0,0.0,All Wheel Drive,Towbar possible,1500.0,7
26,Dacia,Spring Electric 45,25.0,137,19.1 sec,,,,180 km/h,22550.0,58452.5,0.0,Front Wheel Drive,,1500.0,4
27,Renault,Scenic E-Tech EV87 220hp,87.0,98,7.9 sec,,,,510 km/h,48900.0,47970.0,0.0,Front Wheel Drive,Towbar possible,1100.0,5
28,Bmw,iX3,74.0,184,6.8 sec,,,,520 km/h,67300.0,71462.0,0.0,Rear Wheel Drive,Towbar possible,750.0,5
29,Bmw,iX1 xDrive30,64.7,147,5.6 sec,,,,510 km/h,55000.0,57850.0,0.0,All Wheel Drive,Towbar possible,1200.0,5
30,Tesla,Model Y,57.5,137,6.9 sec,,,,810 km/h,45970.0,45990.0,0.0,Rear Wheel Drive,Towbar possible,1600.0,5
31,Skoda,Enyaq 85,77.0,111,6.7 sec,,,,670 km/h,48900.0,49990.0,0.0,Rear Wheel Drive,Towbar possible,1000.0,5
32,Nio,ET7 75 kWh,70.5,208,3.8 sec,,,,600 km/h,81900.0,84900.0,0.0,All Wheel Drive,Towbar possible,2000.0,5
